datetime,side,price,shares,pnl
2017-09-22 12:27,BUY,392.8,100,0.0
2017-09-22 12:29,SELL,392.8,100,0.0
2017-09-22 12:37,BUY,392.3,100,0.0
2017-09-22 12:41,SELL,392.3,100,0.0
2017-09-22 12:43,BUY,392.3,100,0.0
2017-09-22 12:48,SELL,392.8,100,50.0
2017-09-22 12:50,BUY,392.7,100,0.0
2017-09-22 12:55,SELL,393.0,100,30.0
2017-09-22 13:02,BUY,393.0,100,0.0
2017-09-22 13:05,SELL,392.8,100,-20.0
2017-09-22 13:14,BUY,392.1,100,0.0
2017-09-22 13:15,SELL,392.1,100,0.0
2017-09-22 13:21,BUY,391.85,100,0.0
2017-09-22 13:22,SELL,391.8,100,-5.0
2017-09-22 13:23,BUY,391.8,100,0.0
2017-09-22 13:25,SELL,391.8,100,0.0
2017-09-22 13:31,BUY,391.7,100,0.0
2017-09-22 13:34,SELL,391.8,100,10.0
2017-09-22 13:41,BUY,391.6,100,0.0
2017-09-22 13:44,SELL,391.4,100,-20.0
2017-09-22 13:47,BUY,391.7,100,0.0
2017-09-22 13:50,SELL,391.5,100,-20.0
2017-09-22 13:52,BUY,391.7,100,0.0
2017-09-22 13:59,SELL,391.7,100,0.0
2017-09-22 14:07,BUY,391.8,100,0.0
2017-09-22 14:09,SELL,391.3,100,-50.0
2017-09-22 14:14,BUY,391.1,100,0.0
2017-09-22 14:18,SELL,391.0,100,-10.0
2017-09-22 14:23,BUY,390.9,100,0.0
2017-09-22 14:24,SELL,390.75,100,-15.0
2017-09-22 14:25,BUY,391.1,100,0.0
2017-09-22 14:29,SELL,390.85,100,-25.0
2017-09-22 14:32,BUY,390.8,100,0.0
2017-09-22 14:33,SELL,390.8,100,0.0
2017-09-22 14:35,BUY,391.1,100,0.0
2017-09-22 14:38,SELL,390.9,100,-20.0
2017-09-22 14:40,BUY,390.95,100,0.0
2017-09-22 14:41,SELL,391.0,100,5.0
2017-09-22 14:42,BUY,390.8,100,0.0
2017-09-22 14:44,SELL,390.6,100,-20.0
2017-09-22 14:48,BUY,390.75,100,0.0
2017-09-22 14:51,SELL,390.75,100,0.0
2017-09-22 14:56,BUY,390.25,100,0.0
2017-09-22 14:58,SELL,390.2,100,-5.0
2017-09-22 15:05,BUY,390.15,100,0.0
2017-09-22 15:09,SELL,390.15,100,0.0
2017-09-22 15:10,BUY,390.15,100,0.0
2017-09-22 15:11,SELL,390.1,100,-5.0
2017-09-22 15:20,BUY,389.65,100,0.0
2017-09-22 15:24,SELL,389.4,100,-25.0
2017-09-22 15:30,BUY,389.3,100,0.0
2017-09-22 15:33,SELL,389.0,100,-30.0
2017-09-22 15:35,BUY,389.4,100,0.0
2017-09-22 15:38,SELL,389.3,100,-10.0
2017-09-22 15:48,BUY,389.1,100,0.0
2017-09-22 15:51,SELL,388.75,100,-35.0
2017-09-22 15:55,BUY,389.0,100,0.0
2017-09-22 15:59,SELL,389.0,100,0.0
2017-09-22 16:00,BUY,389.2,100,0.0
